StNo,Station,Passgrs,Latit,Longit,RailCo,Line
742,西小山,34576,35.615435000000005,139.69871,東京急行電鉄,目黒線
743,西川口,101044,35.815515000000005,139.70436,東日本旅客鉄道,東北線
744,西巣鴨,24857,35.743415,139.728725,東京都,6号線三田線
745,西府,16410,35.670935,139.45738999999998,東日本旅客鉄道,南武線
746,西新井,62378,35.77728,139.790365,東武鉄道,大師線
747,西新井大師西,8843,35.78116,139.77014,東京都,日暮里・舎人線
748,西新宿,62707,35.694514999999996,139.69256000000001,東京地下鉄,4号線丸ノ内線
749,西新宿五丁目,27355,35.689899999999994,139.684665,東京都,12号線大江戸線
750,西日暮里,366697,35.733013333333325,139.76738833333334,東京都,日暮里・舎人線
751,西早稲田,28326,35.70865,139.70925499999998,東京地下鉄,13号線副都心線
752,西横浜,13106,35.453595,139.60897,相模鉄道,本線
753,西武園,3897,35.767735,139.448895,西武鉄道,西武園線
754,西武新宿,172907,35.695675,139.70004,西武鉄道,新宿線
755,西武柳沢,16161,35.72858,139.5524,西武鉄道,新宿線
756,西武遊園地,3049,35.765785,139.44271500000002,西武鉄道,多摩湖線
757,西永福,18132,35.678875000000005,139.635155,京王電鉄,井の頭線
758,西浦和,26486,35.844185,139.627765,東日本旅客鉄道,武蔵野線
759,西登戸,2184,35.617625000000004,140.10287,京成電鉄,千葉線
760,西白井,12214,35.784440000000004,140.031745,北総鉄道,北総線
761,西立川,12722,35.703295,139.39422,東日本旅客鉄道,青梅線
762,西船橋,525337,35.70713136363637,139.9590809090909,東葉高速鉄道,東葉高速線
763,西荻窪,80266,35.70376,139.59897999999998,東日本旅客鉄道,中央線
764,西葛西,95262,35.664675,139.85829,東京地下鉄,5号線東西線
765,西調布,15924,35.65732,139.529505,京王電鉄,京王線
766,西谷,23593,35.478055,139.56513999999999,相模鉄道,本線
767,西馬込,39763,35.587305,139.70632,東京都,1号線浅草線
768,西高島平,12147,35.791895,139.64568500000001,東京都,6号線三田線
769,要町,35332,35.733215,139.69848000000002,東京地下鉄,8号線有楽町線
770,見沼代親水公園,9288,35.814605,139.7707,東京都,日暮里・舎人線
771,読売ランド前,34154,35.614734999999996,139.52804,小田急電鉄,小田原線
772,調布,113385,35.65177,139.544735,京王電鉄,相模原線
773,護国寺,36990,35.71918,139.72744999999998,東京地下鉄,8号線有楽町線
774,谷保,19216,35.68138,139.44678,東日本旅客鉄道,南武線
775,谷在家,7100,35.78868,139.7701,東京都,日暮里・舎人線
776,谷塚,35818,35.81486,139.801465,東武鉄道,伊勢崎線
777,谷津,11125,35.685535,140.007175,京成電鉄,本線
778,豊四季,14145,35.866535,139.93928,東武鉄道,野田線
779,豊島園,24272,35.7418225,139.6486125,東京都,12号線大江戸線
780,豊春,13923,35.968035,139.726185,東武鉄道,野田線
781,豊洲,178073,35.6541075,139.796025,東京地下鉄,8号線有楽町線
782,豊田,59544,35.65912,139.380945,東日本旅客鉄道,中央線
783,豪徳寺,25479,35.65404,139.647955,小田急電鉄,小田原線
784,赤土小学校前,3684,35.74306,139.76913000000002,東京都,日暮里・舎人線
785,赤坂見附,101945,35.67641,139.73759,東京地下鉄,4号線丸ノ内線
786,赤羽,174692,35.776915,139.72146333333333,東日本旅客鉄道,東北線
787,赤羽岩淵,75150,35.783355,139.72211,東京地下鉄,7号線南北線
788,赤羽橋,34232,35.654970000000006,139.744195,東京都,12号線大江戸線
789,越中島,8274,35.668,139.792495,東日本旅客鉄道,京葉線
790,越谷,46535,35.88753,139.78623499999998,東武鉄道,伊勢崎線
791,越谷レイクタウン,36230,35.876095,139.82196,東日本旅客鉄道,武蔵野線
792,足立小台,3166,35.754635,139.770205,東京都,日暮里・舎人線
793,辰巳,25893,35.645775,139.81033,東京地下鉄,8号線有楽町線
794,逆井,13962,35.82304,139.98397,東武鉄道,野田線
795,運河,23165,35.91437,139.906035,東武鉄道,野田線
796,都庁前,40652,35.69059,139.69262500000002,東京都,12号線大江戸線
797,都立大学,47385,35.617850000000004,139.67644,東京急行電鉄,東横線
798,都立家政,17263,35.72219,139.64543,西武鉄道,新宿線
799,都筑ふれあいの丘駅,17849,35.536556000000004,139.56130100000001,横浜市,4号線
800,都電雑司ヶ谷,1317,35.72419,139.717945,東京都,荒川線
801,野方,22549,35.719494999999995,139.6538,西武鉄道,新宿線
802,野田市,10420,35.943380000000005,139.87126,東武鉄道,野田線
803,金町,88106,35.76951,139.87039,東日本旅客鉄道,常磐線
804,鈴木町,8095,35.53538,139.72065500000002,京浜急行電鉄,大師線
805,鉄道博物館,7886,35.920265,139.617825,埼玉新都市交通,伊奈線
806,銀座,245548,35.67222833333333,139.764735,東京地下鉄,4号線丸ノ内線
807,銀座一丁目,33836,35.67496,139.76610499999998,東京地下鉄,8号線有楽町線
808,錦糸町,287567,35.697565,139.814495,東日本旅客鉄道,総武線
809,鎌ヶ谷,22313,35.763785,139.99731,東武鉄道,野田線
810,鎌ヶ谷大仏,14580,35.757855,140.01394,新京成電鉄,新京成線
811,鐘ヶ淵,12453,35.733760000000004,139.82037,東武鉄道,伊勢崎線
812,門前仲町,183465,35.6723375,139.7961525,東京都,12号線大江戸線
